C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456,BMT,01/09/2016,23:00:00,REGULAR,0005053869,0001103673                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,03:00:00,REGULAR,0005053959,0001103689                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,07:00:00,REGULAR,0005053965,0001103694                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,11:00:00,REGULAR,0005054008,0001103731                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,15:00:00,REGULAR,0005054146,0001103766                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,19:00:00,REGULAR,0005054359,0001103808                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,23:00:00,REGULAR,0005054490,0001103829                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,03:00:00,REGULAR,0005054521,0001103832                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,07:00:00,REGULAR,0005054529,0001103842                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,11:00:00,REGULAR,0005054737,0001104015                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,15:00:00,REGULAR,0005054958,0001104080                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,19:00:00,REGULAR,0005055748,0001104147                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,23:00:00,REGULAR,0005056064,0001104180                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,03:00:00,REGULAR,0005056095,0001104184                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,07:00:00,REGULAR,0005056110,0001104198                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,11:00:00,REGULAR,0005056309,0001104363                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,15:00:00,REGULAR,0005056528,0001104420                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,19:00:00,REGULAR,0005057316,0001104489                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,23:00:00,REGULAR,0005057571,0001104515                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,03:00:00,REGULAR,0005057594,0001104515                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,07:00:00,REGULAR,0005057607,0001104520                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,11:00:00,REGULAR,0005057770,0001104688                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,15:00:00,REGULAR,0005058026,0001104749                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,19:00:00,REGULAR,0005058908,0001104831                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,23:00:00,REGULAR,0005059175,0001104864                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,03:00:00,REGULAR,0005059197,0001104870                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,07:00:00,REGULAR,0005059210,0001104884                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,11:00:00,REGULAR,0005059367,0001105034                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,15:00:00,REGULAR,0005059553,0001105088                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,19:00:00,REGULAR,0005060347,0001105151                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,23:00:00,REGULAR,0005060644,0001105174                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,03:00:00,REGULAR,0005060683,0001105177                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,07:00:00,REGULAR,0005060691,0001105186                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,11:00:00,REGULAR,0005060852,0001105355                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,15:00:00,REGULAR,0005061051,0001105411                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,19:00:00,REGULAR,0005061804,0001105481                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,23:00:00,REGULAR,0005062098,0001105508                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,03:00:00,REGULAR,0000628239,0002368529                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,07:00:00,REGULAR,0000628246,0002368569                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,11:00:00,REGULAR,0000628265,0002368922                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,15:00:00,REGULAR,0000628335,0002369355                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,19:00:00,REGULAR,0000628491,0002369846                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,23:00:00,REGULAR,0000628593,0002370066                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/10/2016,03:00:00,REGULAR,0000628641,0002370121                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/10/2016,07:00:00,REGULAR,0000628642,0002370146                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/10/2016,11:00:00,REGULAR,0000628664,0002370344                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/10/2016,15:00:00,REGULAR,0000628715,0002370688                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/10/2016,19:00:00,REGULAR,0000628809,0002371041                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/10/2016,23:00:00,REGULAR,0000628886,0002371184                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/11/2016,03:00:00,REGULAR,0000628893,0002371205                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/11/2016,07:00:00,REGULAR,0000628898,0002371307                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/11/2016,11:00:00,REGULAR,0000628966,0002372284                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/11/2016,15:00:00,REGULAR,0000629030,0002372644                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/11/2016,19:00:00,REGULAR,0000629332,0002373349                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/11/2016,23:00:00,REGULAR,0000629474,0002373614                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/12/2016,03:00:00,REGULAR,0000629490,0002373635                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/12/2016,07:00:00,REGULAR,0000629494,0002373745                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/12/2016,11:00:00,REGULAR,0000629554,0002374702                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/12/2016,15:00:00,REGULAR,0000629634,0002375097                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/12/2016,19:00:00,REGULAR,0000629923,0002375785                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/12/2016,23:00:00,REGULAR,0000630033,0002376037                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/13/2016,03:00:00,REGULAR,0000630050,0002376055                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/13/2016,07:00:00,REGULAR,0000630060,0002376144                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/13/2016,11:00:00,REGULAR,0000630127,0002377132                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/13/2016,15:00:00,REGULAR,0000630270,0002377515                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/13/2016,19:00:00,REGULAR,0000630851,0002378275                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/13/2016,23:00:00,REGULAR,0000631004,0002378555                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/14/2016,03:00:00,REGULAR,0000631018,0002378571                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/14/2016,07:00:00,REGULAR,0000631020,0002378667                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/14/2016,11:00:00,REGULAR,0000631101,0002379625                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/14/2016,15:00:00,REGULAR,0000631166,0002380033                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/14/2016,19:00:00,REGULAR,0000631484,0002380762                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/14/2016,23:00:00,REGULAR,0000631642,0002381046                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/15/2016,03:00:00,REGULAR,0000631661,0002381073                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/15/2016,07:00:00,REGULAR,0000631663,0002381170                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/15/2016,11:00:00,REGULAR,0000631727,0002382099                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/15/2016,15:00:00,REGULAR,0000631795,0002382502                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/15/2016,19:00:00,REGULAR,0000632119,0002383170                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/15/2016,23:00:00,REGULAR,0000632265,0002383428                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/09/2016,03:00:00,REGULAR,0005016181,0007921642                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/09/2016,07:00:00,REGULAR,0005016201,0007921690                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/09/2016,11:00:00,REGULAR,0005016289,0007922078                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/09/2016,15:00:00,REGULAR,0005016505,0007922513                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/09/2016,19:00:00,REGULAR,0005016883,0007923055                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/09/2016,23:00:00,REGULAR,0005017115,0007923312                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/10/2016,03:00:00,REGULAR,0005017270,0007923397                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/10/2016,07:00:00,REGULAR,0005017280,0007923436                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/10/2016,11:00:00,REGULAR,0005017361,0007923649                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/10/2016,15:00:00,REGULAR,0005017558,0007924024                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/10/2016,19:00:00,REGULAR,0005017834,0007924428                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/10/2016,23:00:00,REGULAR,0005018051,0007924614                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/11/2016,03:00:00,REGULAR,0005018100,0007924660                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/11/2016,07:00:00,REGULAR,0005018115,0007924770                                             
