A002,R051,02-03-00,04-19-14,00:00:00,REGULAR,000292032,001075162,04-19-14,04:00:00,REGULAR,000292047,001075194,04-19-14,08:00:00,REGULAR,000292050,001075274,04-19-14,12:00:00,REGULAR,000292100,001075603,04-19-14,16:00:00,REGULAR,000292195,001075985,04-19-14,20:00:00,REGULAR,000292327,001076390,04-20-14,00:00:00,REGULAR,000292409,001076564,04-20-14,04:00:00,REGULAR,000292428,001076609                                                                                                                  
A002,R051,02-03-00,04-20-14,08:00:00,REGULAR,000292433,001076653,04-20-14,12:00:00,REGULAR,000292477,001076896,04-20-14,16:00:00,REGULAR,000292566,001077179,04-20-14,20:00:00,REGULAR,000292690,001077502,04-21-14,00:00:00,REGULAR,000292762,001077652,04-21-14,04:00:00,REGULAR,000292766,001077665,04-21-14,08:00:00,REGULAR,000292779,001077921,04-21-14,09:31:37,DOOR OPEN,000292808,001078387                                                                                                                
A002,R051,02-03-00,04-21-14,09:31:54,DOOR OPEN,000292808,001078387,04-21-14,09:42:33,DOOR CLOSE,000292808,001078387,04-21-14,12:00:00,REGULAR,000292842,001078697,04-21-14,16:00:00,REGULAR,000292906,001079094,04-21-14,20:00:00,REGULAR,000293071,001079726,04-22-14,00:00:00,REGULAR,000293134,001079880,04-22-14,04:00:00,REGULAR,000293141,001079911,04-22-14,08:00:00,REGULAR,000293149,001080171                                                                                                             
A002,R051,02-03-00,04-22-14,12:00:00,REGULAR,000293212,001081022,04-22-14,16:00:00,REGULAR,000293292,001081448,04-22-14,20:00:00,REGULAR,000293479,001082092,04-23-14,00:00:00,REGULAR,000293586,001082270,04-23-14,04:00:00,REGULAR,000293593,001082281,04-23-14,08:00:00,REGULAR,000293617,001082556,04-23-14,12:00:00,REGULAR,000293681,001083386,04-23-14,16:00:00,REGULAR,000293746,001083856                                                                                                                  
A002,R051,02-03-00,04-23-14,20:00:00,REGULAR,000293985,001084538,04-24-14,00:00:00,REGULAR,000294097,001084743,04-24-14,04:00:00,REGULAR,000294107,001084750,04-24-14,08:00:00,REGULAR,000294120,001084991,04-24-14,12:00:00,REGULAR,000294192,001085857,04-24-14,16:00:00,REGULAR,000294261,001086279,04-24-14,20:00:00,REGULAR,000294569,001086968,04-25-14,00:00:00,REGULAR,000294636,001087186                                                                                                                  
A002,R051,02-03-00,04-25-14,04:00:00,REGULAR,000294647,001087194,04-25-14,08:00:00,REGULAR,000294664,001087460,04-25-14,12:00:00,REGULAR,000294726,001088290,04-25-14,16:00:00,REGULAR,000294790,001088733,04-25-14,20:00:00,REGULAR,000295098,001089366                                                                                                                                                                                                                                                            
A002,R051,02-03-01,04-19-14,00:00:00,REGULAR,004189085,006552550,04-19-14,04:00:00,REGULAR,004189145,006552596,04-19-14,08:00:00,REGULAR,004189171,006552690,04-19-14,12:00:00,REGULAR,004189346,006553052,04-19-14,16:00:00,REGULAR,004189676,006553504,04-19-14,20:00:00,REGULAR,004190042,006553937,04-20-14,00:00:00,REGULAR,004190288,006554216,04-20-14,04:00:00,REGULAR,004190338,006554255                                                                                                                  
A002,R051,02-03-01,04-20-14,08:00:00,REGULAR,004190365,006554318,04-20-14,12:00:00,REGULAR,004190495,006554577,04-20-14,16:00:00,REGULAR,004190742,006554893,04-20-14,20:00:00,REGULAR,004191024,006555268,04-21-14,00:00:00,REGULAR,004191221,006555462,04-21-14,04:00:00,REGULAR,004191240,006555478,04-21-14,08:00:00,REGULAR,004191283,006555729,04-21-14,09:42:45,DOOR OPEN,004191373,006556190                                                                                                                
A002,R051,02-03-01,04-21-14,09:43:34,DOOR OPEN,004191373,006556190,04-21-14,09:51:37,DOOR CLOSE,004191373,006556190,04-21-14,11:26:28,DOOR OPEN,004191431,006556406,04-21-14,11:26:29,DOOR CLOSE,004191431,006556406,04-21-14,12:00:00,REGULAR,004191453,006556465,04-21-14,12:14:42,DOOR OPEN,004191464,006556490,04-21-14,12:14:43,DOOR CLOSE,004191464,006556490,04-21-14,16:00:00,REGULAR,004191701,006556932                                                                                                   
A002,R051,02-03-01,04-21-14,20:00:00,REGULAR,004192374,006557586,04-22-14,00:00:00,REGULAR,004192660,006557782,04-22-14,04:00:00,REGULAR,004192684,006557830,04-22-14,08:00:00,REGULAR,004192724,006558110,04-22-14,12:00:00,REGULAR,004192893,006558942,04-22-14,16:00:00,REGULAR,004193166,006559357,04-22-14,20:00:00,REGULAR,004193849,006559971,04-23-14,00:00:00,REGULAR,004194107,006560225                                                                                                                  
